year,country_code,country,export_volume_mt,export_value_million_usd,avg_price_usd_per_kg
2000,76,Brazil,1934869.68,3123.2622,1.6141977065866266
2001,76,Brazil,2511481.58,2424.639934,0.9654221449635318
2002,76,Brazil,3112120.0860240003,2402.084426,0.7718482447985703
2003,76,Brazil,2747517.092,2629.587312,0.9570776901285244
2004,76,Brazil,2824446.332,3514.216294,1.2442142214511724
2005,76,Brazil,2712011.646,5065.940392,1.8679640994432516
2006,76,Brazil,2961703.274,5905.458686,1.9939400202047384
2007,76,Brazil,2985795.781648,6806.352292,2.279577301915557
2008,76,Brazil,3153014.786,8334.170674,2.643238690476601
2009,76,Brazil,3288922.256,7580.98122,2.305004688441623
2010,76,Brazil,3588618.688,10402.571902,2.898767689302074
2011,76,Brazil,3588939.286686,16049.90752,4.472047654732094
2012,76,Brazil,3011186.110552,11477.334546,3.81156598251445
2013,76,Brazil,3400348.66,9191.761404,2.7031820331036287
2014,76,Brazil,3975728.497288,12103.865002,3.044439531083805
2015,76,Brazil,4013044.992,11129.980086,2.773450112866315
2016,76,Brazil,3651917.588356,9711.255286,2.6592208205803898
2017,76,Brazil,3298974.946888,9226.977018,2.7969224278905247
2018,76,Brazil,3657795.14455,8743.46711,2.390365442697766
2019,76,Brazil,4465629.9861550005,9169.697504,2.053393929284163
2020,76,Brazil,4758201.150946,9992.610272,2.1000815129501875
2021,76,Brazil,4576818.531822001,11666.513212,2.549044304659298
2022,76,Brazil,4270982.63076,17085.06601,4.000265860823648
2023,76,Brazil,4242198.107256,14701.626414,3.4655680951942904
2001,170,Colombia,560246.478,769.384392,1.3732962583657689
2002,170,Colombia,579081.685,782.1826,1.3507293016873776
2003,170,Colombia,579223.114,813.928677,1.4052075225022875
2004,170,Colombia,575669.643,964.027775,1.67461978709897
2005,170,Colombia,617316.904,1492.568384,2.4178317073915734
2006,170,Colombia,603378.363,1486.971419,2.46440958142213
2008,170,Colombia,604628.527,1917.332694,3.171092014981953
2009,170,Colombia,460865.466,1574.711067,3.416856291419327
2010,170,Colombia,413444.849,1913.67899,4.628619741251148
2011,170,Colombia,437140.704,2657.524849,6.079335153836418
2013,170,Colombia,547569.062,1922.532062,3.511031202124418
2014,170,Colombia,623367.975,2516.694333,4.037253169767022
2015,170,Colombia,717944.848,2576.546111,3.588779999156704
2016,170,Colombia,739529.802,2462.525547,3.329853023286274
2017,170,Colombia,1441822.471,5165.1294078,3.582361567868781
2018,170,Colombia,1445080.9581,4670.845420060001,3.2322378852747824
2019,170,Colombia,3076043.953428,9452.68118784,3.072999388485902
2020,170,Colombia,2824967.83652,10091.51171384,3.57225720710203
2021,170,Colombia,2802565.058888,12755.26545168,4.551282551399905
2022,170,Colombia,5141389.96136,32869.0307532,6.393024260020434
2023,170,Colombia,4733318.41688,23317.86112568,4.926324213161668
2001,188,Costa Rica,131141.942,168.542178,1.285188974859012
2002,188,Costa Rica,119814.34,169.713229,1.4164684210587817
2003,188,Costa Rica,123026.854,195.30561,1.5875038956941872
2004,188,Costa Rica,109015.483,199.480131,1.8298330247273225
2005,188,Costa Rica,112841.248,264.505932,2.344053585795152
2006,188,Costa Rica,88230.634,230.300045,2.610205033775457
2008,188,Costa Rica,110405.113,341.412006,3.0923568367707754
2009,188,Costa Rica,71932.909,218.269048,3.034342014445711
2010,188,Costa Rica,74893.002,265.486185,3.544873057699036
2011,188,Costa Rica,76870.326,379.385027,4.935389853816933
2012,188,Costa Rica,87720.123,423.435961,4.82712456980937
2013,188,Costa Rica,82356.944,308.107837,3.74112760910604
2014,188,Costa Rica,74521.563,284.455137,3.817084955665785
2015,188,Costa Rica,69093.145,309.703447,4.482404831912051
2016,188,Costa Rica,75889.605,310.669519,4.093703202171101
2017,188,Costa Rica,69512.554536,328.522123193,4.726083300864177
2018,188,Costa Rica,75607.287,318.48568964,4.212367647049682
2020,188,Costa Rica,70130.469,328.99820434,4.691230631011464
2021,188,Costa Rica,69546.41373999999,331.96425283,4.773276362905668
2022,188,Costa Rica,62858.308632,376.21597428,5.985143133305298
2000,231,Ethiopia,237834.72,511.200800153,2.149395177260074
2001,231,Ethiopia,167859.24,285.263633767,1.699421692645576
2002,231,Ethiopia,240070.454,322.843485364,1.3447864157577676
2003,231,Ethiopia,275582.784,367.118525199,1.3321533365415164
2004,231,Ethiopia,304314.1,475.285637167,1.5618258804537812
2005,231,Ethiopia,586532.56736,759.1937174069999,1.2943760664887762
2006,231,Ethiopia,319711.487,765.4925193629999,2.3943228519749744
2007,231,Ethiopia,128364.857,357.747133696,2.7869554179926364
2009,231,Ethiopia,121031.448,366.2754017250001,3.0262829023164297
2010,231,Ethiopia,228500.13064,772.124702094,3.37909960896467
2011,231,Ethiopia,228103.40914,1213.873879289,5.321594639315438
2012,231,Ethiopia,273677.1204,1222.4064995039998,4.466600999445476
2013,231,Ethiopia,257568.53042,929.653472064,3.609344163854472
2014,231,Ethiopia,309308.90089999995,1294.81465457,4.186153876601875
2016,231,Ethiopia,319629.17356,1223.7495657410002,3.828654162293733
2017,231,Ethiopia,388659.5136,1565.318545467,4.027480328393536
2018,231,Ethiopia,222780.54976,753.9441691830001,3.3842459316812854
2019,231,Ethiopia,260038.37504,797.18910639,3.0656594676357813
2020,231,Ethiopia,,797.97917117,
2021,231,Ethiopia,304209.13491,1189.21445941,3.9092003590287594
2022,231,Ethiopia,273804.11636,1513.90245028,5.5291442305765335
2023,231,Ethiopia,236075.52782,1225.642096907,5.191737187776248
2000,320,Guatemala,291873.025,575.382759,1.9713461324492043
2001,320,Guatemala,247589.728,306.876904,1.239457333221837
2002,320,Guatemala,207659.83,262.104778,1.262183340899393
2004,320,Guatemala,208740.806,328.484306,1.5736468220784776
2005,320,Guatemala,202092.137,464.620049,2.299050600865288
2006,320,Guatemala,203800.418,464.294788,2.2781836885143187
2007,320,Guatemala,230879.431,577.723806,2.5022749038219865
2008,320,Guatemala,230249.363,646.97475,2.8098872525436693
2009,320,Guatemala,234078.179,582.529514,2.488610926864738
2010,320,Guatemala,235517.667,714.297395,3.0328824334014826
2011,320,Guatemala,261993.652,1063.866157,4.060656236815998
2012,320,Guatemala,226995.106,958.747545,4.22364852658982
2014,320,Guatemala,183805.48,668.047471,3.634535112881292
2015,320,Guatemala,183571.915,664.022835,3.6172354305940537
2016,320,Guatemala,182867.3,651.139121,3.56071928113993
2017,320,Guatemala,203539.092,748.581755,3.6778279181868414
2019,320,Guatemala,215118.70505,664.299957,3.088062271691329
2021,320,Guatemala,226310.504,928.857334,4.104349190968176
2022,320,Guatemala,194021.401,1115.975643,5.751817259581586
2023,320,Guatemala,182501.598,949.428873,5.202304436808274
2000,340,Honduras,175090.946,344.460884,1.9673255063685589
2001,340,Honduras,146342.915,231.653142,1.5829474354805628
2002,340,Honduras,163895.789,182.721517,1.1148640127660632
2003,340,Honduras,149643.768,182.604938,1.220264234458464
2004,340,Honduras,177246.564,257.480305,1.452667398393122
2005,340,Honduras,145400.391,329.82711,2.268405935717188
2006,340,Honduras,171828.111,390.174571,2.2707260687979045
2007,340,Honduras,207064.147,500.098461,2.4151861548489126
2010,340,Honduras,204159.518,681.60449,3.3385878683353867
2011,340,Honduras,236159.272,1266.805073,5.364197908774042
2012,340,Honduras,317434.632,1339.086586,4.218464058452198
2014,340,Honduras,242082.5,783.268307,3.235542870715562
2015,340,Honduras,285367.859,932.2743,3.2669211706844674
2017,340,Honduras,862987.00536,2584.0480611800003,2.9943070349037875
2018,340,Honduras,430167.57996,1112.18006277,2.5854576555337303
2020,340,Honduras,322156.73984,871.8386463200001,2.706256112329052
2021,340,Honduras,389585.90605,1292.00303371,3.316349523034805
2001,360,Indonesia,250817.493,188.491729,0.7515095009740808
2002,360,Indonesia,325009.917,223.917392,0.6889555680850193
2003,360,Indonesia,323903.645,259.10658,0.7999495652480231
2004,360,Indonesia,344076.86,294.114392,0.8547927111401795
2005,360,Indonesia,445929.794,504.407211,1.1311359271948536
2006,360,Indonesia,414105.384,588.501657,1.4211398347817663
2007,360,Indonesia,321404.023,636.417008,1.980115252011018
2008,360,Indonesia,468749.533,991.457582,2.1151116154818657
2010,360,Indonesia,433594.911,814.310783,1.8780450654320529
2011,360,Indonesia,346492.592,1036.671076,2.9918996825190423
2012,360,Indonesia,448590.626,1249.518765,2.785432179316204
2013,360,Indonesia,534025.073,1174.044469,2.1984819222149143
2014,360,Indonesia,384827.677,1039.609487,2.7014935492802405
2015,360,Indonesia,502020.679,1197.735058,2.3858281303985884
2017,360,Indonesia,,1186.88647239,
2018,360,Indonesia,279959.423164,817.78950031,2.9211001046781684
2019,360,Indonesia,359053.173157,883.1233745369999,2.4595893883128124
2021,360,Indonesia,774527.295168,1717.1161954580002,2.2169860328622075
2022,360,Indonesia,875103.567808,2296.766509852,2.6245653592808997
2023,360,Indonesia,559873.83943,1858.017627036,3.318636264426326
2000,404,Kenya,86956.212,153.541661,1.7657353910494629
2001,404,Kenya,63676.481,95.405933,1.4982915434664177
2002,404,Kenya,152262.941,35.147127,0.2308317885440029
2003,404,Kenya,64451.459,91.173792,1.4146117623186776
2004,404,Kenya,52703.187,94.483418,1.7927458163013936
2005,404,Kenya,50513.1,127.746277,2.5289732168486987
2006,404,Kenya,50230.043,138.105022,2.7494506027000614
2007,404,Kenya,59325.582,165.472497,2.78922669481776
2008,404,Kenya,44105.63,152.788757,3.464155415079662
2009,404,Kenya,62051.95,201.239044,3.243073650384879
2010,404,Kenya,44293.594,207.473345,4.684048555644412
2013,404,Kenya,50115.702,190.804759,3.807284970287357
2017,404,Kenya,44757.11284,229.704654973,5.132249164376617
2018,404,Kenya,46458.36802,231.78353487400005,4.989058909133846
2019,404,Kenya,50537.30085,204.90502295,4.054530406326597
