year,exports,export_mt,avg_price_usd_per_kg,arabica_benchmark,price_usd_per_kg,price_source,export_value_million_usd
2000,2470000.0,148200.0,1.9673255063685589,1.922519247406142,1.9673255063685589,COMTRADE,291.5576400438204
2001,2617000.0,157020.0,1.5829474354805628,1.373128443937457,1.5829474354805628,COMTRADE,248.55440631915798
2002,2438000.0,146280.0,1.1148640127660632,1.3550050494518462,1.1148640127660632,COMTRADE,163.0823077874197
2003,2794000.0,167640.0,1.220264234458464,1.4147677513751897,1.220264234458464,COMTRADE,204.5650962646169
2004,2450000.0,147000.0,1.452667398393122,1.774267700804572,1.452667398393122,COMTRADE,213.54210756378893
2005,2850000.0,171000.0,2.268405935717188,2.5320924751907348,2.268405935717188,COMTRADE,387.89741500763915
2006,3370000.0,202200.0,2.2707260687979045,2.522280562249206,2.2707260687979045,COMTRADE,459.1408111109363
2007,3440000.0,206400.0,2.4151861548489126,2.725216267043012,2.4151861548489126,COMTRADE,498.4944223608156
2008,3050000.0,183000.0,,3.0801289595278813,2.725750732518436,estimated,498.81238405087373
2009,3200000.0,192000.0,,3.1692461383685124,2.804614708246926,estimated,538.4860239834097
2010,3900000.0,234000.0,3.3385878683353867,4.322137492032419,3.3385878683353867,COMTRADE,781.2295611904805
2011,5290000.0,317400.0,5.364197908774042,5.9769024647013635,5.364197908774042,COMTRADE,1702.5964162448809
2012,4480000.0,268800.0,4.218464058452198,4.11032843067964,4.218464058452198,COMTRADE,1133.923138911951
2013,3940000.0,236400.0,,3.075099597536939,2.721300013957284,estimated,643.3153232995019
2014,4760000.0,285600.0,3.235542870715562,4.417086162391253,3.235542870715562,COMTRADE,924.0710438763645
2015,5000000.0,300000.0,3.2669211706844674,3.5252686391409758,3.2669211706844674,COMTRADE,980.0763512053403
2016,7175000.0,430500.0,,3.6120490708545545,3.196471813402076,estimated,1376.0811156695938
2017,7225000.0,433500.0,,3.3235958998573154,2.9412060591190134,estimated,1275.0128266280924
2018,6910000.0,414600.0,2.5854576555337303,2.9258598166037095,2.5854576555337303,COMTRADE,1071.9307439842846
2019,4900000.0,294000.0,,2.8782584282497408,2.5471060212951695,estimated,748.8491702607798
2020,6010000.0,360600.0,2.706256112329052,3.3252713368853173,2.706256112329052,COMTRADE,975.8759541058562
2021,4650000.0,279000.0,3.316349523034805,4.512725507007143,3.316349523034805,COMTRADE,925.2615169267106
2022,5310000.0,318600.0,,5.632052369567305,4.984067574327584,estimated,1587.9239291807683
2023,4718000.0,283080.0,,4.540629893528795,4.018216581515566,estimated,1137.4767498954266
2024,4768000.0,286080.0,,5.631583389706521,4.983652552029536,estimated,1425.7233220846097
2025,5503000.0,330180.0,,8.445854779562163,7.4741334387715295,estimated,2467.8093788135834
