country,year,arabica_1000_bags,production_1000_bags,robusta_1000_bags,production_mt,arabica_mt,robusta_mt
Brazil,1960,29800.0,29800.0,0.0,1788000.0,1788000.0,0.0
Brazil,1961,39600.0,39600.0,0.0,2376000.0,2376000.0,0.0
Brazil,1962,28900.0,28900.0,0.0,1734000.0,1734000.0,0.0
Brazil,1963,23200.0,23200.0,0.0,1392000.0,1392000.0,0.0
Brazil,1964,11000.0,11000.0,0.0,660000.0,660000.0,0.0
Brazil,1965,37700.0,37700.0,0.0,2262000.0,2262000.0,0.0
Brazil,1966,21000.0,21000.0,0.0,1260000.0,1260000.0,0.0
Brazil,1967,24500.0,24500.0,0.0,1470000.0,1470000.0,0.0
Brazil,1968,17000.0,17000.0,0.0,1020000.0,1020000.0,0.0
Brazil,1969,21000.0,21000.0,0.0,1260000.0,1260000.0,0.0
Brazil,1970,11000.0,11000.0,0.0,660000.0,660000.0,0.0
Brazil,1971,24600.0,24600.0,0.0,1476000.0,1476000.0,0.0
Brazil,1972,24500.0,24500.0,0.0,1470000.0,1470000.0,0.0
Brazil,1973,14300.0,14300.0,0.0,858000.0,858000.0,0.0
Brazil,1974,27500.0,27500.0,0.0,1650000.0,1650000.0,0.0
Brazil,1975,22800.0,23000.0,200.0,1380000.0,1368000.0,12000.0
Brazil,1976,9000.0,9300.0,300.0,558000.0,540000.0,18000.0
Brazil,1977,17100.0,17500.0,400.0,1050000.0,1026000.0,24000.0
Brazil,1978,19100.0,20000.0,900.0,1200000.0,1146000.0,54000.0
Brazil,1979,20900.0,22000.0,1100.0,1320000.0,1254000.0,66000.0
Brazil,1980,20250.0,21500.0,1250.0,1290000.0,1215000.0,75000.0
Brazil,1981,31500.0,33000.0,1500.0,1980000.0,1890000.0,90000.0
Brazil,1982,15750.0,17750.0,2000.0,1065000.0,945000.0,120000.0
Brazil,1983,28000.0,30000.0,2000.0,1800000.0,1680000.0,120000.0
Brazil,1984,25000.0,27000.0,2000.0,1620000.0,1500000.0,120000.0
Brazil,1985,30600.0,33000.0,2400.0,1980000.0,1836000.0,144000.0
Brazil,1986,10400.0,13900.0,3500.0,834000.0,624000.0,210000.0
Brazil,1987,34300.0,38000.0,3700.0,2280000.0,2058000.0,222000.0
Brazil,1988,21300.0,25000.0,3700.0,1500000.0,1278000.0,222000.0
Brazil,1989,22500.0,26000.0,3500.0,1560000.0,1350000.0,210000.0
Brazil,1990,26500.0,31000.0,4500.0,1860000.0,1590000.0,270000.0
Brazil,1991,24000.0,28500.0,4500.0,1710000.0,1440000.0,270000.0
Brazil,1992,19200.0,24000.0,4800.0,1440000.0,1152000.0,288000.0
Brazil,1993,24000.0,28500.0,4500.0,1710000.0,1440000.0,270000.0
Brazil,1994,24500.0,28000.0,3500.0,1680000.0,1470000.0,210000.0
Brazil,1995,14000.0,16800.0,2800.0,1008000.0,840000.0,168000.0
Brazil,1996,22700.0,28000.0,5300.0,1680000.0,1362000.0,318000.0
Brazil,1997,19200.0,23500.0,4300.0,1410000.0,1152000.0,258000.0
Brazil,1998,30600.0,35600.0,5000.0,2136000.0,1836000.0,300000.0
Brazil,1999,25800.0,30800.0,5000.0,1848000.0,1548000.0,300000.0
Brazil,2000,26600.0,34100.0,7500.0,2046000.0,1596000.0,450000.0
