country,year,arabica_production,bean_exports,bean_imports,beginning_stocks,domestic_consumption,ending_stocks,exports,imports,other_production,production,roast_and_ground_exports,roast_and_ground_imports,robusta_production,rstground_dom_consum,soluble_dom_cons,soluble_exports,soluble_imports,total_distribution,total_supply
Brazil,1960,29800000.0,16110000.0,0.0,53520000.0,9001000.0,58206000.0,16113000.0,0.0,0.0,29800000.0,3000.0,0.0,0.0,8976000.0,25000.0,0.0,0.0,83320000.0,83320000.0
Brazil,1961,39600000.0,17410000.0,0.0,58206000.0,13220000.0,67174000.0,17412000.0,0.0,0.0,39600000.0,1000.0,0.0,0.0,13190000.0,30000.0,1000.0,0.0,97806000.0,97806000.0
Brazil,1962,28900000.0,16864000.0,0.0,67174000.0,6741000.0,72461000.0,16872000.0,0.0,0.0,28900000.0,7000.0,0.0,0.0,6706000.0,35000.0,1000.0,0.0,96074000.0,96074000.0
Brazil,1963,23200000.0,18860000.0,0.0,72461000.0,9520000.0,67272000.0,18869000.0,0.0,0.0,23200000.0,7000.0,0.0,0.0,9480000.0,40000.0,2000.0,0.0,95661000.0,95661000.0
Brazil,1964,11000000.0,12409000.0,0.0,67272000.0,8131000.0,57723000.0,12418000.0,0.0,0.0,11000000.0,1000.0,0.0,0.0,8086000.0,45000.0,8000.0,0.0,78272000.0,78272000.0
Brazil,1965,37700000.0,16411000.0,0.0,57723000.0,8100000.0,70802000.0,16521000.0,0.0,0.0,37700000.0,3000.0,0.0,0.0,8050000.0,50000.0,107000.0,0.0,95423000.0,95423000.0
Brazil,1966,21000000.0,16023000.0,0.0,70802000.0,8620000.0,66761000.0,16421000.0,0.0,0.0,21000000.0,3000.0,0.0,0.0,8565000.0,55000.0,395000.0,0.0,91802000.0,91802000.0
Brazil,1967,24500000.0,18347000.0,0.0,66761000.0,8750000.0,63547000.0,18964000.0,0.0,0.0,24500000.0,33000.0,0.0,0.0,8690000.0,60000.0,584000.0,0.0,91261000.0,91261000.0
Brazil,1968,17000000.0,18300000.0,0.0,63547000.0,8750000.0,52706000.0,19091000.0,0.0,0.0,17000000.0,41000.0,0.0,0.0,8685000.0,65000.0,750000.0,0.0,80547000.0,80547000.0
Brazil,1969,21000000.0,18142000.0,0.0,52706000.0,8740000.0,45831000.0,19135000.0,0.0,0.0,21000000.0,11000.0,0.0,0.0,8670000.0,70000.0,982000.0,0.0,73706000.0,73706000.0
