country_code,country,year,exchange_rate_lcu_per_usd
BRA,Brazil,1990,2.95572678942699e-05
BRA,Brazil,1991,0.000175961443086024
BRA,Brazil,1992,0.00195302352248811
BRA,Brazil,1993,0.038276610926673
BRA,Brazil,1994,0.664683514070577
BRA,Brazil,1995,0.917666666666667
BRA,Brazil,1996,1.0051
BRA,Brazil,1997,1.07799166666667
BRA,Brazil,1998,1.16051666666667
BRA,Brazil,1999,1.81393284657213
BRA,Brazil,2000,1.82942312207561
BRA,Brazil,2001,2.34963170932244
BRA,Brazil,2002,2.92036301775519
BRA,Brazil,2003,3.07747511847802
BRA,Brazil,2004,2.92511944951586
BRA,Brazil,2005,2.43439003623188
BRA,Brazil,2006,2.17532666666667
BRA,Brazil,2007,1.94705833333333
BRA,Brazil,2008,1.83376666666667
BRA,Brazil,2009,1.99942817314426
BRA,Brazil,2010,1.75922671058718
BRA,Brazil,2011,1.67282875525659
BRA,Brazil,2012,1.95306861112487
BRA,Brazil,2013,2.15608915126311
BRA,Brazil,2014,2.35295196276669
BRA,Brazil,2015,3.32690438276879
BRA,Brazil,2016,3.49131342157271
BRA,Brazil,2017,3.19138944630048
BRA,Brazil,2018,3.65382536145755
BRA,Brazil,2019,3.9444710972507
BRA,Brazil,2020,5.15517878751281
BRA,Brazil,2021,5.39440078962503
BRA,Brazil,2022,5.16397029102111
BRA,Brazil,2023,4.99437976287199
BRA,Brazil,2024,5.3889349057096
COL,Colombia,1990,502.26
COL,Colombia,1991,627.1525
COL,Colombia,1992,680.385833333333
COL,Colombia,1993,786.346666666667
COL,Colombia,1994,826.54
COL,Colombia,1995,912.895
COL,Colombia,1996,1036.6225
COL,Colombia,1997,1141.11666666667
COL,Colombia,1998,1426.42416666667
COL,Colombia,1999,1756.68583333333
COL,Colombia,2000,2087.91833333333
COL,Colombia,2001,2299.89333333333
COL,Colombia,2002,2504.68083333333
COL,Colombia,2003,2877.54333333333
COL,Colombia,2004,2628.36833333333
COL,Colombia,2005,2321.13166666667
COL,Colombia,2006,2358.59460526316
COL,Colombia,2007,2077.81095833333
COL,Colombia,2008,1965.1375
COL,Colombia,2009,2157.59833333333
COL,Colombia,2010,1898.9975
COL,Colombia,2011,1848.01666666667
COL,Colombia,2012,1798.01166666667
COL,Colombia,2013,1868.895
COL,Colombia,2014,2001.105
COL,Colombia,2015,2741.78166666667
COL,Colombia,2016,3055.255
COL,Colombia,2017,2951.48691120161
COL,Colombia,2018,2955.70396997842
COL,Colombia,2019,3281.62219381788
COL,Colombia,2020,3693.27583333333
